company,url,question,control,how_it_works,required,options,why
Air,https://boards.greenhouse.io/air/jobs/4163985009#app,Preferred First Name,text,free_text,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4163985009#app,Country,combobox,list_on_open,yes,,the label is exactly this field
Air,https://boards.greenhouse.io/air/jobs/4163985009#app,"To be considered, you must be a US Citizen. Please confirm your current status.",combobox,list_on_open,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4163985009#app,When would you be available to start?,text,free_text,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4163985009#app,Have you applied for another role with Air within the last 6 months?,combobox,list_on_open,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4163985009#app,"Are you open to working onsite full-time, five days a week?",combobox,list_on_open,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4163985009#app,Which Air office location/s are you open to working out of?,combobox,list_on_open,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4163985009#app,Are you subject to any existing agreements with a current or former employer (such as a non-compete or non-solicitation clause) that might limit your ability to work at Air or perform this role?,combobox,list_on_open,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4163985009#app,Gender,combobox,list_on_open,yes,,the label is exactly this field
Air,https://boards.greenhouse.io/air/jobs/4163985009#app,Are you Hispanic/Latino?,combobox,list_on_open,yes,,the label asks this in different words
Air,https://boards.greenhouse.io/air/jobs/4163985009#app,Veteran Status,combobox,list_on_open,yes,,the label is exactly this field
Air,https://boards.greenhouse.io/air/jobs/4163985009#app,Disability Status,combobox,list_on_open,yes,,the label is exactly this field
Air,https://boards.greenhouse.io/air/jobs/4077374009#app,Preferred First Name,text,free_text,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4077374009#app,Country,combobox,list_on_open,yes,,the label is exactly this field
Air,https://boards.greenhouse.io/air/jobs/4077374009#app,"To be considered, you must be a US Citizen. Please confirm your current status.",combobox,list_on_open,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4077374009#app,"Do you have a security clearance? If so, what level?",text,free_text,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4077374009#app,When would you be available to start?,text,free_text,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4077374009#app,Have you applied for another role with Air (formerly Govini) within the last 6 months?,combobox,list_on_open,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4077374009#app,"Are you open to working onsite full-time, five days a week?",combobox,list_on_open,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4077374009#app,Which Air office location/s are you open to working out of?,combobox,list_on_open,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4077374009#app,Are you subject to any existing agreements with a current or former employer (such as a non-compete or non-solicitation clause) that might limit your ability to work at Air or perform this role?,combobox,list_on_open,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4077374009#app,Gender,combobox,list_on_open,yes,,the label is exactly this field
Air,https://boards.greenhouse.io/air/jobs/4077374009#app,Are you Hispanic/Latino?,combobox,list_on_open,yes,,the label asks this in different words
Air,https://boards.greenhouse.io/air/jobs/4077374009#app,Veteran Status,combobox,list_on_open,yes,,the label is exactly this field
Air,https://boards.greenhouse.io/air/jobs/4077374009#app,Disability Status,combobox,list_on_open,yes,,the label is exactly this field
Air,https://boards.greenhouse.io/air/jobs/4062770009#app,Preferred First Name,text,free_text,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4062770009#app,Country,combobox,list_on_open,yes,,the label is exactly this field
Air,https://boards.greenhouse.io/air/jobs/4062770009#app,"To be considered, you must be a US Citizen. Please confirm your current status.",combobox,list_on_open,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4062770009#app,When would you be available to start?,text,free_text,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4062770009#app,Have you applied for another role with Air within the last 6 months?,combobox,list_on_open,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4062770009#app,"Are you open to working onsite full-time, five days a week?",combobox,list_on_open,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4062770009#app,Which Air office location/s are you open to working out of?,combobox,list_on_open,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4062770009#app,Are you subject to any existing agreements with a current or former employer (such as a non-compete or non-solicitation clause) that might limit your ability to work at Air or perform this role?,combobox,list_on_open,yes,,required and not answered yet
Air,https://boards.greenhouse.io/air/jobs/4062770009#app,Gender,combobox,list_on_open,yes,,the label is exactly this field
Air,https://boards.greenhouse.io/air/jobs/4062770009#app,Are you Hispanic/Latino?,combobox,list_on_open,yes,,the label asks this in different words
Air,https://boards.greenhouse.io/air/jobs/4062770009#app,Veteran Status,combobox,list_on_open,yes,,the label is exactly this field
Air,https://boards.greenhouse.io/air/jobs/4062770009#app,Disability Status,combobox,list_on_open,yes,,the label is exactly this field
Taxbit,https://boards.greenhouse.io/taxbit/jobs/6111141004#app,Preferred First Name,text,free_text,yes,,required and not answered yet
Taxbit,https://boards.greenhouse.io/taxbit/jobs/6111141004#app,Country,combobox,list_on_open,yes,,the label is exactly this field
Taxbit,https://boards.greenhouse.io/taxbit/jobs/6111141004#app,"Taxbit operates on a Hybrid Remote policy, with 3 in-office days per week. Additionally, certain roles are specific to certain office locations - for this role, we are hiring for our Salt Lake City office. Please confirm you will comply with the hybrid policy in our SLC office.",combobox,list_on_open,yes,,required and not answered yet
Taxbit,https://boards.greenhouse.io/taxbit/jobs/6111141004#app,"Applicants must be currently authorized to work in the United States on a full-time basis. At this time, Taxbit does not offer visa sponsorship, including H-1B transfers or new H-1B petitions or OPT/STEM OPT extensions. Can you please confirm you are authorized to work in the United States without sponsorship?",combobox,list_on_open,yes,,required and not answered yet
Taxbit,https://boards.greenhouse.io/taxbit/jobs/6111068004#app,Preferred First Name,text,free_text,yes,,required and not answered yet
Taxbit,https://boards.greenhouse.io/taxbit/jobs/6111068004#app,Country,combobox,list_on_open,yes,,the label is exactly this field
Taxbit,https://boards.greenhouse.io/taxbit/jobs/6111068004#app,"Taxbit operates on a Hybrid Remote policy, with 3 in-office days per week. Additionally, certain roles are specific to certain office locations - for this role, we are hiring for our Seattle office. Please confirm you will comply with the hybrid policy in our Seattle office.",combobox,list_on_open,yes,,required and not answered yet
Taxbit,https://boards.greenhouse.io/taxbit/jobs/6111068004#app,"Applicants must be currently authorized to work in the United States on a full-time basis. At this time, Taxbit does not offer visa sponsorship, including H-1B transfers or new H-1B petitions or OPT/STEM OPT extensions. Can you please confirm you are authorized to work in the United States without sponsorship?",combobox,list_on_open,yes,,required and not answered yet
Taxbit,https://boards.greenhouse.io/taxbit/jobs/5986597004#app,Preferred First Name,text,free_text,yes,,required and not answered yet
Taxbit,https://boards.greenhouse.io/taxbit/jobs/5986597004#app,Country,combobox,list_on_open,yes,,the label is exactly this field
Taxbit,https://boards.greenhouse.io/taxbit/jobs/5986597004#app,"Taxbit operates on a Hybrid Remote policy, with 3 in-office days per week. Additionally, certain roles are specific to certain office locations - for this role, we are hiring for our Singapore office. Please confirm you will comply with the hybrid policy in our Singapore office.",combobox,list_on_open,yes,,required and not answered yet
Taxbit,https://boards.greenhouse.io/taxbit/jobs/5986597004#app,"This role requires business-level fluency in both English and Mandarin, including the ability to conduct business discussions in both languages. Can you confirm that you are fluent in both?",combobox,list_on_open,yes,,required and not answered yet
Taxbit,https://boards.greenhouse.io/taxbit/jobs/5986597004#app,"This role is based in Singapore. Candidates must be legally authorized to work in Singapore without company-sponsored visa support (e.g., holders of a valid Employment Pass or Permanent Resident status). Can you confirm that you meet this requirement?",combobox,list_on_open,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7812990003#app,Country,combobox,list_on_open,yes,,the label is exactly this field
Affirm,https://boards.greenhouse.io/affirm/jobs/7812990003#app,Preferred Name,text,free_text,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7812990003#app,Name Pronunciation,text,free_text,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7812990003#app,Pronouns,combobox,list_on_open,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7812990003#app,Do you require immigration sponsorship to work for Affirm in the United States?,combobox,list_on_open,yes,,"the question is about immigration, sponsorship"
Affirm,https://boards.greenhouse.io/affirm/jobs/7812990003#app,Will you require immigration sponsorship at any point in the future to maintain authorization to work in the United States?,combobox,list_on_open,yes,,"the question is about immigration, sponsorship"
Affirm,https://boards.greenhouse.io/affirm/jobs/7812990003#app,Which U.S. State or Canadian Province do you reside in?,combobox,list_on_open,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7812990003#app,How did you first learn about Affirm as an employer?,combobox,list_on_open,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7812990003#app,Twitter,text,free_text,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7812990003#app,Other Links,textarea,long_text,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7812990003#app,Have you previously been employed at Affirm for any length of time?,combobox,list_on_open,yes,,the question is about previously
Affirm,https://boards.greenhouse.io/affirm/jobs/7812990003#app,How do you identify? (gender identity),combobox,list_on_open,yes,,the question is about gender
Affirm,https://boards.greenhouse.io/affirm/jobs/7812990003#app,How do you identify? (race/ethnicity),combobox,list_on_open,yes,,"the question is about ethnicity, race"
Affirm,https://boards.greenhouse.io/affirm/jobs/7778204003#app,Country,combobox,list_on_open,yes,,the label is exactly this field
Affirm,https://boards.greenhouse.io/affirm/jobs/7778204003#app,Preferred Name,text,free_text,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7778204003#app,Name Pronunciation,text,free_text,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7778204003#app,Pronouns,combobox,list_on_open,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7778204003#app,Do you require immigration sponsorship to work for Affirm in the United States?,combobox,list_on_open,yes,,"the question is about immigration, sponsorship"
Affirm,https://boards.greenhouse.io/affirm/jobs/7778204003#app,Will you require immigration sponsorship at any point in the future to maintain authorization to work in the United States?,combobox,list_on_open,yes,,"the question is about immigration, sponsorship"
Affirm,https://boards.greenhouse.io/affirm/jobs/7778204003#app,Which U.S. State or Canadian Province do you reside in?,combobox,list_on_open,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7778204003#app,How did you first learn about Affirm as an employer?,combobox,list_on_open,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7778204003#app,Twitter,text,free_text,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7778204003#app,Other Links,textarea,long_text,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7778204003#app,Have you previously been employed at Affirm for any length of time?,combobox,list_on_open,yes,,the question is about previously
Affirm,https://boards.greenhouse.io/affirm/jobs/7778204003#app,How do you identify? (gender identity),combobox,list_on_open,yes,,the question is about gender
Affirm,https://boards.greenhouse.io/affirm/jobs/7778204003#app,How do you identify? (race/ethnicity),combobox,list_on_open,yes,,"the question is about ethnicity, race"
Affirm,https://boards.greenhouse.io/affirm/jobs/7778206003#app,Country,combobox,list_on_open,yes,,the label is exactly this field
Affirm,https://boards.greenhouse.io/affirm/jobs/7778206003#app,Preferred Name,text,free_text,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7778206003#app,Name Pronunciation,text,free_text,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7778206003#app,Pronouns,combobox,list_on_open,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7778206003#app,"Do you now, or will you in the future, require immigration sponsorship to work for Affirm in Canada?",combobox,list_on_open,yes,,the question is about sponsorship
Affirm,https://boards.greenhouse.io/affirm/jobs/7778206003#app,Which U.S. State or Canadian Province do you reside in?,combobox,list_on_open,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7778206003#app,How did you first learn about Affirm as an employer?,combobox,list_on_open,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7778206003#app,Twitter,text,free_text,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7778206003#app,Other Links,textarea,long_text,yes,,required and not answered yet
Affirm,https://boards.greenhouse.io/affirm/jobs/7778206003#app,Have you previously been employed at Affirm for any length of time?,combobox,list_on_open,yes,,the question is about previously
Vorto,https://jobs.ashbyhq.com/vorto/39e7da3b-f3f7-415a-ad19-8fa80baa2916/application,Resume,file,file,yes,,a document this form will take
Vorto,https://jobs.ashbyhq.com/vorto/39e7da3b-f3f7-415a-ad19-8fa80baa2916/application,What was your GPA?,text,free_text,yes,,required and not answered yet
Vorto,https://jobs.ashbyhq.com/vorto/39e7da3b-f3f7-415a-ad19-8fa80baa2916/application,"This position is full-time onsite in Denver, CO. Please confirm you're willing to work full-time in the office.",text,free_text,yes,,required and not answered yet
Vorto,https://jobs.ashbyhq.com/vorto/39e7da3b-f3f7-415a-ad19-8fa80baa2916/application,"GitHub link required. If not providing, please explain",text,free_text,yes,,required and not answered yet
Vorto,https://jobs.ashbyhq.com/vorto/57a40922-320a-4a05-8a87-81f06fee31fa/application,Resume,file,file,yes,,a document this form will take
Vorto,https://jobs.ashbyhq.com/vorto/57a40922-320a-4a05-8a87-81f06fee31fa/application,This position is full-time onsite in Denver. Please confirm you are willing to work onsite full-time.,text,free_text,yes,,required and not answered yet
Vorto,https://jobs.ashbyhq.com/vorto/57a40922-320a-4a05-8a87-81f06fee31fa/application,"GitHub link required. If not providing, please explain",text,free_text,yes,,required and not answered yet
Vorto,https://jobs.ashbyhq.com/vorto/4a3dc3c2-b7ed-4556-a5fb-a442611a6753/application,Resume,file,file,yes,,a document this form will take
Vorto,https://jobs.ashbyhq.com/vorto/4a3dc3c2-b7ed-4556-a5fb-a442611a6753/application,Are you willing to work onsite in Denver with up to 25% travel?,radio,choice_group,yes,Yes | No,required and not answered yet
