at,ats,company,title,url,kind,fields,planned,verified,attempted,failed,needs_you,captcha,submit_left_alone,outcome,walked,landed_on,note
2026-08-14T12:53:46+00:00,greenhouse,Air,"AI Engineer, Internal Enablement & Productivity",https://boards.greenhouse.io/air/jobs/4163985009#app,application,18,7,6,1,0,11,badge_only,1,"filled 6/7, 11 left for you, submit not pressed",,,
2026-08-14T12:53:59+00:00,greenhouse,Air,Data Analyst,https://boards.greenhouse.io/air/jobs/4077374009#app,application,19,7,6,1,0,12,badge_only,1,"filled 6/7, 12 left for you, submit not pressed",,,
2026-08-14T12:54:12+00:00,greenhouse,Air,Data Scientist,https://boards.greenhouse.io/air/jobs/4062770009#app,application,18,7,6,1,0,11,badge_only,1,"filled 6/7, 11 left for you, submit not pressed",,,
2026-08-14T12:54:26+00:00,greenhouse,Taxbit,Agentic AI Engineer,https://boards.greenhouse.io/taxbit/jobs/6111141004#app,application,10,6,6,0,0,3,badge_only,1,"filled 6/6, 3 left for you, submit not pressed",,,
2026-08-14T12:54:32+00:00,greenhouse,Taxbit,Agentic AI Engineer,https://boards.greenhouse.io/taxbit/jobs/6111068004#app,application,10,6,6,0,0,3,badge_only,1,"filled 6/6, 3 left for you, submit not pressed",,,
2026-08-14T12:54:40+00:00,greenhouse,Taxbit,Business Development Representative,https://boards.greenhouse.io/taxbit/jobs/5986597004#app,application,11,6,6,0,0,4,badge_only,1,"filled 6/6, 4 left for you, submit not pressed",,,
2026-08-14T12:54:46+00:00,greenhouse,Affirm,Affirm Bank Strategic Finance Manager,https://boards.greenhouse.io/affirm/jobs/7812990003#app,application,21,9,8,1,0,12,badge_only,1,"filled 8/9, 12 left for you, submit not pressed",,,
2026-08-14T12:54:59+00:00,greenhouse,Affirm,AI Solutions Engineer,https://boards.greenhouse.io/affirm/jobs/7778204003#app,application,21,9,8,1,0,12,badge_only,1,"filled 8/9, 12 left for you, submit not pressed",,,
2026-08-14T12:55:11+00:00,greenhouse,Affirm,AI Solutions Engineer,https://boards.greenhouse.io/affirm/jobs/7778206003#app,application,18,8,8,0,0,10,badge_only,1,"filled 8/8, 10 left for you, submit not pressed",,,
2026-08-14T12:55:19+00:00,smartrecruiters,Wabash Valley Power Alliance,NineStar Connect - Outside Plant Technician (Fiber Optic Technician),https://jobs.smartrecruiters.com/wabashvalleypoweralliance/744000143348584,board,0,0,0,0,0,0,none,0,nothing to fill: no controls found,,,
2026-08-14T12:55:23+00:00,smartrecruiters,Wabash Valley Power Alliance,"Systems Analyst, Boone Power",https://jobs.smartrecruiters.com/wabashvalleypoweralliance/744000143350612,unknown,0,0,0,0,0,0,none,0,nothing to fill: no controls found,,,
2026-08-14T12:55:26+00:00,smartrecruiters,Wabash Valley Power Alliance,DERMS Administrator,https://jobs.smartrecruiters.com/wabashvalleypoweralliance/744000142914972,board,0,0,0,0,0,0,none,0,nothing to fill: no controls found,,,
2026-08-14T12:55:29+00:00,ashby,Vorto,AI Engineer,https://jobs.ashbyhq.com/vorto/39e7da3b-f3f7-415a-ad19-8fa80baa2916/application,application,11,4,4,0,0,4,badge_only,1,"filled 4/4, 4 left for you, submit not pressed",,,
2026-08-14T12:55:32+00:00,ashby,Vorto,Full Stack Engineer,https://jobs.ashbyhq.com/vorto/57a40922-320a-4a05-8a87-81f06fee31fa/application,application,10,4,4,0,0,3,badge_only,1,"filled 4/4, 3 left for you, submit not pressed",,,
2026-08-14T12:55:35+00:00,ashby,Vorto,"Operations Manager/Engineer, Energy Field Operations",https://jobs.ashbyhq.com/vorto/4a3dc3c2-b7ed-4556-a5fb-a442611a6753/application,application,9,4,4,0,0,2,badge_only,1,"filled 4/4, 2 left for you, submit not pressed",,,
