n,company,title,system,gate,filled,asked,status,url
1,Vantor (Maxar),"Software Engineer, AI Agents & Generative AI",workday,account required (step 1 of 7),,,BLOCKED at signup — needs your Workday account for maxar.wd1,https://maxar.wd1.myworkdayjobs.com/Vantor/job/Herndon-VA/Sr-Staff-AI-Engineer--Insights_R23498
2,Jack & Jill,AI Researcher (Multimodal Audio/Video Gen),external (unresolved),unknown until opened,,,needs opening to identify the ATS,
3,Ejam Inc,Staff AI Platform & Reliability Engineer,external (unresolved),unknown until opened,,,needs opening to identify the ATS,
4,C3 Technology Advisors,Principal AI Engineer,linkedin-hosted,none,,,skipped by your rule (Easy Apply),
5,Ladders,"Software Engineer III, Voice AI",external (unresolved),unknown until opened,,,needs opening to identify the ATS,
6,EnterpriseLabs,Senior AI Software Modernization Engineer,linkedin-hosted,none,,,skipped by your rule (Easy Apply),
7,Diversified Systems.com,Lead AI Engineer,external (unresolved),unknown until opened,,,needs opening to identify the ATS,
8,Jobright.ai,AI Agent Engineer,external (unresolved),unknown until opened,,,needs opening to identify the ATS,
9,Point Predictive,Artificial Intelligence Engineer,external (unresolved),unknown until opened,,,needs opening to identify the ATS,
10,Stealth Startup,AI Engineer [33322],linkedin-hosted,none,,,skipped by your rule (Easy Apply),
11,Concentric Recruitment,Generative AI Engineer,linkedin-hosted,none,,,skipped by your rule (Easy Apply),
12,Yara AI,Artificial Intelligence Engineer,external (unresolved),unknown until opened,,,needs opening to identify the ATS,
13,PineQ Lab Technology,Gen AI Developer,linkedin-hosted,none,,,skipped by your rule (Easy Apply),
